"user/id","user/name","user/profilePic","user/profileUrl","text","likesCount"
"61556800684844","BYD Cebu by Joseph Mabalcon","https://scontent-atl3-2.xx.fbcdn.net/v/t39.30808-1/429864557_122110966778226689_2326897986793088806_n.jpg?stp=cp0_dst-jpg_p40x40&_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_ohc=fh2C-hHUNP0Q7kNvgEWCePS&_nc_ht=scontent-atl3-2.xx&oh=00_AYBXszRYm98N-L7ZpBXtEIXnmooFqMDcNcoFTtn_DM37lg&oe=6679BEDB","https://www.facebook.com/people/BYD-Cebu-by-Joseph-Mabalcon/61556800684844/","There’s no range anxiety with the BYD ATTO 3! With a whopping range of 480 km, you’ll surely go far on a single charge. Book a test drive with us to know more! 

Reserve your own ATTO 3 for as low as Php 20,000. Contact +69976278511 for more information. 

Book a Test Drive now ! 

#CommandTheFuture #BYDCebu #BYDCarsPhilippines #BYD #BuildYourDreams #electriccars #electricvehicles #GlobalStarMotors #OnglatcoAutoGroup","5"
"61560884219225","News In Simple Words","https://scontent-atl3-1.xx.fbcdn.net/v/t39.30808-1/448048394_122099823170362807_3166909433387793343_n.jpg?stp=cp0_dst-jpg_p40x40&_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_ohc=jSdwHfBe6YwQ7kNvgFvpbK9&_nc_ht=scontent-atl3-1.xx&oh=00_AYClNep2XHJjs_zUfVxMWsouADgp-JwF4Os-GceaP0-MFQ&oe=6679BBD7","https://www.facebook.com/people/News-In-Simple-Words/61560884219225/","Fisker Inc. is an American automotive company founded in 2016 by Henrik Fisker and his wife Geeta Gupta Fisker. It is known for cars like Austin Martin DB9. They aimed to create premium SUVs(Sports Utility Vehicles) targeting the luxury car market. Fisker cars beat Tesla cars on range but not charging.
In 2023 they managed to produce 10,193 fisker ocean model cars but could only deliver 4,929 cars. In June 2025 they have filled for bankcruptcy Chapter 11 after having financial issues and production delays.
After declaring bankcruptcy there can be many possibilities:
1. Either another company can buy Fisker Inc.
2. They company can restructure its business model to become financially stable.
3. The company can also be dissolved and its assests can be sold off.
#fiskerocean #bankcruptcy #electricvehicles #newsinsimplewords #simplenews","195"
"100057718045743","Chandler Juliet","https://scontent-atl3-2.xx.fbcdn.net/v/t39.30808-1/437386594_863775445556382_6828864442084674112_n.jpg?stp=c16.6.40.40a_cp0_dst-jpg_p68x68&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=7mm93hV44hEQ7kNvgEChKM_&_nc_ht=scontent-atl3-2.xx&oh=00_AYDzV63EfoyQtqmFnIGlS0S0-rL3mweKxvt9_6yLpq2x4w&oe=6679D24B","https://www.facebook.com/chandlerjuliet","People who drive electric vehicles 

#comedyvideos #evcharging #electricvehicles #comedyskit","11874"
"100063788626256","Thesuperboo","https://scontent-atl3-2.xx.fbcdn.net/v/t39.30808-1/358675897_732161392253475_7686837060744342038_n.jpg?stp=cp0_dst-jpg_p40x40&_nc_cat=1&ccb=1-7&_nc_sid=5f2048&_nc_ohc=DZrCmuq6Gb0Q7kNvgF81mdV&_nc_ht=scontent-atl3-2.xx&oh=00_AYBkU0lgK6lMMdB9q6VR61731y784_2WZ7mpV2krz90CWg&oe=6679E759","https://www.facebook.com/thesuperboo","Say goodbye to conventional steering wheels and hello to side-stick control! #electricvehicles #electricalvehicle #electriccar #ev #electric #automotive #automotivedesign #automotivenews","18798"
"100064150112927","Autogefühl","https://scontent-atl3-2.xx.fbcdn.net/v/t39.30808-1/355482775_655796793235319_920896559277974527_n.jpg?stp=cp0_dst-jpg_p40x40&_nc_cat=1&ccb=1-7&_nc_sid=5f2048&_nc_ohc=VxYZBEOQoMUQ7kNvgGLnAUn&_nc_ht=scontent-atl3-2.xx&oh=00_AYDo7hANaZAJ5jZb18N0SbdGusigLpChrP8S8b5uzKGFLA&oe=6679CCA0","https://www.facebook.com/autogefuehl","Rear-view camera with flipping logo in the Mercedes CLE Coupé. The first-ever Mercedes CLE is a little longer than the E-Class Coupé and way longer than the C-Class Coupé, it replaces both models and the same for the Cabriolet version.  #mercedes #mercedescle #MercedesCLECoupe #mercedesclecabriolet #mercedesfans #mbcars #mbcar #mercedesbenz #mercedeslovers #electricvehicles #electricvehicle #carsofinstagram","26947"
"100063998954126","Garud Securities (Pvt) Ltd","https://scontent-atl3-2.xx.fbcdn.net/v/t39.30808-1/438223545_888413179968639_8670511860024829591_n.jpg?stp=cp0_dst-jpg_p40x40&_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_ohc=WF0Q2hzt3okQ7kNvgE4BmjC&_nc_ht=scontent-atl3-2.xx&oh=00_AYDT6_AGazYfU-5SZDkFfRinTX-EuNxacwtqdrZLn9zKdw&oe=6679C09D","https://www.facebook.com/Garudsecurities","Charging towards a greener future! 🌿🚗

Meet Nakul Thapa, the Transport Manager of Garud Securities, as he shares about the ongoing Environment Pollution and how we are tackling it, with the moto ""Better Environment, Better Tomorrow"", by switching from Petrol and Diesel Vechicles to Electric Vehicles ⚡🌎

Stay Tuned for more videos that will feature him explaining about the pros and cons, where we use our Electric Vehicles, and how we are going to go forward with it.

#gogreen  #electricvehicles  #environment  #environmentallyfriendly  #garudsecurities  #YouAreInSafeHands  #fypシ゚","437"
"100071607570328","MSN","https://scontent.fagc3-2.fna.fbcdn.net/v/t39.30808-1/352812472_796677958531101_9192127634573444728_n.png?stp=cp0_dst-png_p40x40&_nc_cat=1&ccb=1-7&_nc_sid=5f2048&_nc_ohc=K6WMH3mXzR4Q7kNvgEbvNFA&_nc_ht=scontent.fagc3-2.fna&oh=00_AYDbjGOmp7JLFOT0wcXcgBtIa9JkemIcdde26-npQ0qrPQ&oe=6679DB0F","https://www.facebook.com/msn","🚗🛰️ Satellite images reveal an unexpected sight at Tesla's Gigafactory in Texas: parking lots brimming with unsold electric vehicles. 

Is this a sign of slowing demand or just a temporary overflow? 🤔

Click here to see the deals! : https://msft.it/6182YaLiq
#Tesla #Gigafactory #ElectricVehicles #SatelliteImages","254"
"100076083524857","Montra Electric","https://scontent.fagc3-2.fna.fbcdn.net/v/t39.30808-1/295510328_169215268949306_1006182893537315345_n.jpg?stp=cp0_dst-jpg_p40x40&_nc_cat=1&ccb=1-7&_nc_sid=5f2048&_nc_ohc=mR3nLCJsSAUQ7kNvgHWZtNB&_nc_ht=scontent.fagc3-2.fna&oh=00_AYBU6kF4PJT98gLgcVmxgSW9ikv6--eCiS1_Ap1wCuzYvg&oe=6679C973","https://www.facebook.com/MontraElectric","Sachin Trivedi’s Thrilling Journey with Montra Electric Super Auto...

He shares his exciting driving experience with Super Auto. Find out why he chooses Montra Electric for his daily commute.

#SuperRider #ElectricIsSuper #ElectricVehicles #EV #CustomerSatisfaction #CustomerFeedback #ElectricThreeWheeler #BharatKaSuperAuto #SuperAuto #MontraElectric","3197"
"100064060534144","Life EV","https://scontent.fagc3-2.fna.fbcdn.net/v/t39.30808-1/326907371_866298217814815_3704943154992466320_n.jpg?stp=cp0_dst-jpg_p40x40&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=H3QuIdIqamsQ7kNvgEqHdNW&_nc_ht=scontent.fagc3-2.fna&oh=00_AYDoG-6mjOWmTPBmQlQeyyaPPy1xwjfwPmrhwt0hUSGU4w&oe=6679B505","https://www.facebook.com/lifeeveg","Step into the future of electric vehicle luxury with the ""Mercedes EQE 500"".this electric masterpiece combines cutting-edge technology, elegant design, and sustainable innovation, redefining the driving experience.

Now in stock!
For more details
Contact us : 01100122319

Visit Our Showroom : Building 216, Second Sector, 90th North, Fifth Settlement 
https://maps.app.goo.gl/dGR9sfMj1fKuEpWH7

#life_ev #السيارات_الكهربائية #Mercedes #eqe350 #eqe500 #cars #electricvehicles
#dynamic #performance
#intelligent #technology","35"
"100064921230595","Australian Renewable Energy Agency","https://scontent.fagc3-1.fna.fbcdn.net/v/t39.30808-1/444444713_856223596551674_8460623265787532937_n.jpg?stp=cp0_dst-jpg_p40x40&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=L-NAi5WyyJIQ7kNvgFV4IpL&_nc_ht=scontent.fagc3-1.fna&oh=00_AYBptH5mrcstzTzA5btoLjFinsGmN9L60xsAOcC544D8LA&oe=6679E5DA","https://www.facebook.com/arenagovau","ARENA is announcing $3.2 million for Amber Electric’s EV smart charging and vehicle-to-grid trial.

The Australian-first residential trial will show new ways of increasing value by reducing costs for consumers in the renewable energy transition.

The funding supports software development and installation of 150 chargers in participant homes. This includes electric vehicle smart chargers and vehicle-to-grid charging to support the electricity network in times of constraint.

Decarbonising transport is a key priority for ARENA on the pathway to net zero emissions.

Learn more: https://arena.gov.au/news/batteries-on-wheels-unlocking-value-for-customers-through-smarter-charging/

#ARENA #ElectricVehicles #EV #V2G #DecarbonisingTransport","10"
