"authorMeta/avatar","authorMeta/bioLink","authorMeta/digg","authorMeta/fans","authorMeta/following","authorMeta/heart","authorMeta/id","authorMeta/name","authorMeta/nickName","authorMeta/privateAccount","authorMeta/signature","authorMeta/ttSeller","authorMeta/verified","authorMeta/video","text"
"https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/f34a686ed0ef3a38216d56cafcdd0ed0~c5_720x720.jpeg?lk3s=a5d48078&nonce=826&refresh_token=6ec8deeefd804097a28318c583f692e4&x-expires=1719050400&x-signature=t1L8Bm3ZfGENRneNu8SzF7eN%2FHs%3D&shp=a5d48078&shcp=b59d6b55",,"108","456800","2","8600000","7064664706204353542","autogefuehl","Autogefühl","false","Your number one resource for in-depth car reviews: autogefuehl.com","false","false","487","This is the future electric Mercedes CLA! The new MMA platform will feature a CLA sedan, a CLA Shooting brake (both EV and combustion engine) as well as 2 SUVs. It promises a realistic range of 600 km / 370 miles (official figures are higher, but we rather present realistic figures) and 800V fast-charging technology. The interior features new materials but also still uses animal skin for the inside seat parts which is not fitting to the sustainable luxury claim of Mercedes. The MB OS infotainment has a completely different hardware and software backend with a new Nvidia cooperation. #mercedes #mercedescla #mercedeseq #mercedesfans #mbcars #mbcar #mercedesbenz #mercedeslovers #electricvehicles #electricvehicle #carsofinstagram  "
"https://p16-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7353639807207079979~c5_720x720.jpeg?lk3s=a5d48078&nonce=8103&refresh_token=4ef9f6fe2f6a5521e146b2dd5baf2c7b&x-expires=1719050400&x-signature=TkPc67Z7xr0W6xoXUsXjBLAHats%3D&shp=a5d48078&shcp=b59d6b55",,"234","375300","18","13400000","7146568802419016750","shiftrobotics","Shift Robotics","false","World's fastest shoes that enables you to walk at the speed of a run.","false","false","170","Replying to @melony9032 Easily switch in and out of Shift mode to tackle any obstacle in your way, even stairs.🚶‍♂️💪  #Moonwalkers #ShiftMode #EasilyClimbStairs #ShiftRobotics #EShoes #ElectricTransportation #Innovation #FutureOfTransportation #Moonwalkers #ElectricShoes #Efficiency #Sustainability #EcoFriendly #TransportationRevolution #EmissionsFree #ChargingInfrastructure #BatteryLife #ZeroEmissions #RenewableEnergy #ElectricVehicles #ElectricBikes #ElectricScooters #ElectricMotorcycles #PublicTransportation #Efficiency #CostEffective #MaintenanceFree #TransportationInnovation #ElectricTransportationOptions #HumanPotential #EnergyEfficiency #ChargingTime #ChargingStations #AdrenalineRush #PushingLimits #ThrillSeekers "
"https://p19-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/abe7efca5eeed6646f983f8e5465f109~c5_720x720.jpeg?lk3s=a5d48078&nonce=9159&refresh_token=0f921b60d2b3fd7e729a5dc98c849f1e&x-expires=1719050400&x-signature=xFnBb9gqqWJZDtLPAZSVyVnhHpM%3D&shp=a5d48078&shcp=b59d6b55",,"21","138200","7","972800","7005600119136240646","electricvehicles_","electric vehicles","false","electric cars,trucks,vehicles
Xsilence super bright led bulbs for cars","false","false","27","#electriccar #truck #vehicle #electricvehicle #car #supercar #electricvehicles #supervehicle"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/fe3e79be91543e296726a8eb1958eb8c~c5_720x720.jpeg?lk3s=a5d48078&nonce=20667&refresh_token=04d3d66ce81b502dce0c5f2f130219cd&x-expires=1719050400&x-signature=wO60iykTru2867Wyuk49vxMyzIQ%3D&shp=a5d48078&shcp=b59d6b55",,"137700","66800","380","2500000","6691378017804223494","caswellcustoms","Caswell Customs","false","Link Below 👇🏻 Subscribe to our YouTube channel.
Michigan 🧤
Prerunner 🇱🇷","false","false","1381","Now they’re never going to fix the roads! #Michiganroads #michiganroadssuck #michigan #michigandrivers #EVs #electricvehicles "
"https://p16-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/3334baaa2736356521f04ee02568277b~c5_720x720.jpeg?lk3s=a5d48078&nonce=20515&refresh_token=9a69ece2f8ce26de61827685b774f4c9&x-expires=1719050400&x-signature=cGalI5Q5jYFP0%2FcElKDL9asNLWk%3D&shp=a5d48078&shcp=b59d6b55",,"11500","31100","722","592200","7315820704207782955","the.tooladdict","The.ToolAddict","false","Fleet Master Tech
Ex Mercedes Benz Master Tech of 15 yrs","false","false","67","This was only a dream at one point #evtechnician #electricvehicle #electricvehicles #mechanic #mechaniclife #mechanicsoftiktok #technician #automotivetechnician #snapontoolbox #snapontools #matcotools #snapon #epiq84 #toolsofthetrade #tooladdict #tooladdiction #tooladdictionisreal #trendingsong #trending "
"https://p16-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7353639807207079979~c5_720x720.jpeg?lk3s=a5d48078&nonce=8103&refresh_token=4ef9f6fe2f6a5521e146b2dd5baf2c7b&x-expires=1719050400&x-signature=TkPc67Z7xr0W6xoXUsXjBLAHats%3D&shp=a5d48078&shcp=b59d6b55",,"234","375300","18","13400000","7146568802419016750","shiftrobotics","Shift Robotics","false","World's fastest shoes that enables you to walk at the speed of a run.","false","false","170","Replying to @bonniematthews3 These e-shoes have regenerative braking, which means they actually charge themselves as you walk downhill! 🔋 It's like getting a workout and a charge all at the same time! 😎 #ShiftRobotics #EShoes #ElectricTransportation #EmergingTech #FutureOfTransportation #Moonwalkers #ElectricShoes #Innovation #Sustainability #EcoFriendly #TransportationRevolution #EmissionsFree #ChargingInfrastructure #BatteryLife #ZeroEmissions #RenewableEnergy #ElectricVehicles #ElectricBikes #ElectricScooters #ElectricMotorcycles #PublicTransportation #Efficiency #CostEffective #MaintenanceFree #TransportationInnovation #ElectricTransportationOptions #HumanPotential #EnergyEfficiency #ChargingTime #ChargingStations #AdrenalineRush #PushingLimits #ThrillSeekers #ElectricMobility #SustainableTransportation #InnovativeTransportation #GreenTransportation #EcoTransportation #TransportationSolutions #NextLevelTransportation #SustainableFuture #ElectricTransportationSolutions #GreenInnovation #ElectricTransportationRevolution #ElectrificationOfTransportation #ElectrificationOfMobility  #Moonwalkers #RegenerativeBraking #ChargeOnTheGo 💥 "
"https://p16-sign-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/2dee7d78ec0c2ccb8c31e862affe4071.jpeg?lk3s=a5d48078&nonce=9810&refresh_token=b3f1221f8cb792f19c015c1b7c90e363&x-expires=1719050400&x-signature=SqpO3%2BDnsnUI3sEJRuzD89WBxAU%3D&shp=a5d48078&shcp=b59d6b55",,"128","540700","189","3500000","6842190124420514821","prestige_motors","Prestige Motors LLC","false","Best Car Dealer in UAE","false","false","513","Check these options 🤔🤔🤔🤔🤔 #electriccar #ev #tesla #electricvehicle #electric #electriccars #teslamodel #cars #car #teslamotors #carsofinstagram #teslamodels #model #electricvehicles #teslalife #elonmusk #teslamodelx #emobility #teslaroadster #teslaowner #bmwi #zeroemissions #audi #bmw #teslamodely #cybertruck #teslacars #hiphi #hiphicars "
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/5e8153986914af3b8a36eb74a3244fe9~c5_720x720.jpeg?lk3s=a5d48078&nonce=23889&refresh_token=445c1dfa4497031e4143d4197cd156ee&x-expires=1719050400&x-signature=0y1rExlEo1tGw%2FJyar0Jjh3qMRA%3D&shp=a5d48078&shcp=b59d6b55",,"786","167600","16","861600","7079316449450050565","carlohanigeria","Carloha","false","For real enjoy the vehicles
Welcome to CARLOHA NIGERIA 
Lagos 🇳🇬 Showroom!","false","false","435","HiPhi X6 immersive experience ASMR #hiphi #x6 #electriccar #ev #tesla #electricvehicle #electric #electriccars #teslamodel #cars #teslamotors #carsofinstagram #teslamodels #model #electricvehicles #teslalife #elonmusk #teslamodelx #emobility #teslaroadster #teslaowner #bmwi #zeroemissions #audi #bmw #teslamodely #cybertruck #teslacars #t #porsche #electricmobility#car #carloha #carlohanigeria #asmr #asmrsounds #immersive #carsoftiktok #cartok #satisfying #oddlysatisfying #asmrcar #fyp #fypシ #vir"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/439be279cbfeed2d22e6002459e7bd3e~c5_720x720.jpeg?lk3s=a5d48078&nonce=69860&refresh_token=7b4fdc314694c00b7b882d544f864a79&x-expires=1719050400&x-signature=20Muc0wq3CQnKjaghc1RcxKJ3tQ%3D&shp=a5d48078&shcp=b59d6b55",,"6","548100","0","4600000","7035282986875094021","_vehicles","Vehicle","false","Vehicle","false","false","170","#vehicle #vehicles #electricvehicle #electriccar #car #supertruck #truck #electricvehicles #electrictruck #driverlesscar #selfdrivingcar #Xsilence"
"https://p16-sign-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/2dee7d78ec0c2ccb8c31e862affe4071.jpeg?lk3s=a5d48078&nonce=9810&refresh_token=b3f1221f8cb792f19c015c1b7c90e363&x-expires=1719050400&x-signature=SqpO3%2BDnsnUI3sEJRuzD89WBxAU%3D&shp=a5d48078&shcp=b59d6b55",,"128","540700","189","3500000","6842190124420514821","prestige_motors","Prestige Motors LLC","false","Best Car Dealer in UAE","false","false","513","Check this AWESOME options 🌹🌹🌹🌹 - #electriccar #ev #tesla #electricvehicle #electric #electriccars #teslamodel #cars #car #teslamotors #carsofinstagram #teslamodels #model #electricvehicles #teslalife #elonmusk #teslamodelx #emobility #teslaroadster #teslaowner #bmwi #zeroemissions #audi #bmw #teslamodely #cybertruck #teslacars #hiphi #hiphicars "
